t,T,Pc,mdot_fuel,mdot_ox,xv,xv_dot
0.0232,314.536719491917,266488.103331965,0.190579496168558,0.266811294635981,0.675243430026199,22.7623940283752
0.0233,316.292113160878,267456.219428352,0.191152512704926,0.267613517786897,0.677519669429037,22.6319027177815
0.0234,318.037775997393,268418.389079834,0.191721785239729,0.268410499335621,0.679782859700815,22.5017449939968
0.0235,319.773718925979,269374.631017956,0.192287330273623,0.269202262383072,0.682033034200215,22.371927234416
0.0236,321.499953794403,270324.964288526,0.192849164388502,0.269988830143903,0.684270226923656,22.2424556555275
0.0237,323.216493351682,271269.408241379,0.193407304243307,0.270770225940629,0.686494472489209,22.1133363154933
0.0238,324.923351226431,272207.982520348,0.193961766569914,0.27154647319788,0.688705806120758,21.9845751166942
0.0239,326.620541905536,273140.707053443,0.194512568169134,0.272317595436788,0.690904263632428,21.8561778082396
0.024,328.308080713183,274067.60204323,0.195059725906793,0.27308361626951,0.693089881413252,21.7281499884424
0.0241,329.985983790211,274988.68795742,0.195603256709903,0.273844559393865,0.695262696412096,21.6004971072603
0.0242,331.654268073804,275903.985519641,0.196143177562929,0.2746004485881,0.697422746122822,21.473224468703
0.0243,333.312951277514,276813.51570041,0.196679505504129,0.27535130770578,0.699570068569692,21.3463372332061
0.0244,334.96205187161,277717.299708301,0.197212257621994,0.276097160670791,0.701704702293013,21.2198404199723
0.0245,336.601589063752,278615.358981283,0.19774145105176,0.276838031472464,0.70382668633501,21.0937389092798
0.0246,338.231582779991,279507.715178256,0.198267102972006,0.277573944160809,0.705936060225938,20.9680374447592
0.0247,339.852053646083,280394.390170763,0.198789230601332,0.278304922841865,0.708032863970414,20.8427406356381
0.0248,341.463022969123,281275.406034869,0.199307851195113,0.279030991673158,0.710117138033978,20.7178529589549
0.0249,343.06451271949,282150.785043229,0.199822982042331,0.279752174859264,0.712188923329873,20.5933787617418
0.025,344.656545513104,283020.549657313,0.200334640462488,0.280468496647484,0.714248261206048,20.4693222631771
0.0251,346.239144593984,283884.722519808,0.200842843802581,0.281179981323614,0.716295193432365,20.3456875567075
0.0252,347.812333817116,284743.326447173,0.201347609434159,0.281886653207823,0.718329762188036,20.222478612141
